Time,Round,Table 1,Table 2,Table 3,Table 4,Table 5,Table 6,Table 7,Table 8,Table 9,Table 10,Table 11,Table 12
10:05:00 AM,1,5787,12143,14061,5445,5446,14574,,,,,,
10:10:00 AM,1,,,,,,,13008,13012,12614,10063,11892,10146
10:15:00 AM,1,10337,14370,12659,14493,12987,9906,,,,,,
10:20:00 AM,1,,,,,,,9904,3655,3656,13934,13051,10667
10:25:00 AM,1,14587,14588,3483,3484,3485,3486,,,,,,
10:30:00 AM,1,,,,,,,10930,9908,8396,7656,11889,5291
10:35:00 AM,2,14574,5787,12143,14061,5445,5446,,,,,,
10:40:00 AM,2,,,,,,,10146,13008,13012,12614,10063,11892
10:45:00 AM,2,9906,10337,14370,12659,14493,12987,,,,,,
10:50:00 AM,2,,,,,,,10667,9904,3655,3656,13934,13051
10:55:00 AM,2,3486,14587,14588,3483,3484,3485,,,,,,
11:00:00 AM,2,,,,,,,5291,10930,9908,8396,7656,11889
11:05:00 AM,3,5446,14574,5787,12143,14061,5445,,,,,,
11:10:00 AM,3,,,,,,,11892,10146,13008,13012,12614,10063
11:15:00 AM,3,12987,9906,10337,14370,12659,14493,,,,,,
11:20:00 AM,3,,,,,,,13051,10667,9904,3655,3656,13934
11:25:00 AM,3,3485,3486,14587,14588,3483,3484,,,,,,
11:30:00 AM,3,,,,,,,11889,5291,10930,9908,8396,7656
12:30:00 PM,1,3502,14335,14336,14337,14338,14340,,,,,,
12:35:00 PM,1,,,,,,,14344,14348,14350,14354,14358,14376
12:40:00 PM,1,14407,14408,14402,14405,14534,2728,,,,,,
12:45:00 PM,1,,,,,,,5648,13535,15062,15198,15199,15200
12:50:00 PM,1,12982,5602,12470,13605,2956,13525,,,,,,
12:55:00 PM,1,,,,,,,6188,6553,11522,595,2092,5887
1:00:00 PM,2,14340,3502,14335,14336,14337,14338,,,,,,
1:05:00 PM,2,,,,,,,14376,14344,14348,14350,14354,14358
1:10:00 PM,2,2728,14407,14408,14402,14405,14534,,,,,,
1:15:00 PM,2,,,,,,,15200,5648,13535,15062,15198,15199
1:20:00 PM,2,13525,12982,5602,12470,13605,2956,,,,,,
1:25:00 PM,2,,,,,,,5887,6188,6553,11522,595,2092
1:30:00 PM,3,14338,14340,3502,14335,14336,14337,,,,,,
1:35:00 PM,3,,,,,,,14358,14376,14344,14348,14350,14354
1:40:00 PM,3,14534,2728,14407,14408,14402,14405,,,,,,
1:45:00 PM,3,,,,,,,15199,15200,5648,13535,15062,15198
1:50:00 PM,3,2956,13525,12982,5602,12470,13605,,,,,,
1:55:00 PM,3,,,,,,,2092,5887,6188,6553,11522,595
